Title,Author,Genre,SubGenre,Tags
sea of poppies,ghosh amitav,fiction,novel,fiction novel ghosh amitav
idea of justice  the,sen amartya,Philosophy,econom,philosophi econom sen amartya
raisin in the sun  a,hansberri lorrain,fiction,novel,fiction novel hansberri lorrain
all the president s men,woodward bob,nonfiction,histori,nonfict histori woodward bob
prisoner of birth  a,archer jefferi,fiction,novel,fiction novel archer jefferi
scoop ,nayar kuldip,nonfiction,histori,nonfict histori nayar kuldip
ahe manohar tari,deshpand sunita,nonfiction,autobiographi,nonfict autobiographi deshpand sunita
last mughal  the,dalrympl william,nonfiction,histori,nonfict histori dalrympl william
social choice   welfare  vol    no   ,variou,tech,econom,tech econom variou
radiowaril bhashane   shrutika,deshpand p l,nonfiction,misc,nonfict misc deshpand p l
gun gayin awadi,deshpand p l,nonfiction,misc,nonfict misc deshpand p l
aghal paghal,deshpand p l,nonfiction,misc,nonfict misc deshpand p l
maqta e ghalib,garg sanjay,nonfiction,poetri,nonfict poetri garg sanjay
manasa,kale v p,nonfiction,misc,nonfict misc kale v p
india from midnight to milennium,tharoor shashi,nonfiction,histori,nonfict histori tharoor shashi
great indian novel  the,tharoor shashi,fiction,novel,fiction novel tharoor shashi
o jerusalem ,lapierr dominiqu,nonfiction,histori,nonfict histori lapierr dominiqu
city of joy  the,lapierr dominiqu,fiction,novel,fiction novel lapierr dominiqu
freedom at midnight,lapierr dominiqu,nonfiction,histori,nonfict histori lapierr dominiqu
winter of our discontent  the,steinbeck john,fiction,classic,fiction classic steinbeck john
on education,russel bertrand,Philosophy,educ,philosophi educ russel bertrand
free will,harri sam,nonfiction,psycholog,nonfict psycholog harri sam
bookless in baghdad,tharoor shashi,nonfiction,histori,nonfict histori tharoor shashi
theory of everything  the,hawk stephen,science,physic,scienc physic hawk stephen
new markets   other essays,drucker peter,science,econom,scienc econom drucker peter
electric universe,bodani david,science,physic,scienc physic bodani david
hunchback of notre dame  the,hugo victor,fiction,classic,fiction classic hugo victor
burning bright,steinbeck john,fiction,classic,fiction classic steinbeck john
age of discontuinity  the,drucker peter,nonfiction,econom,nonfict econom drucker peter
doctor in the nude,gordon richard,fiction,novel,fiction novel gordon richard
down and out in paris   london,orwel georg,nonfiction,autobiographi,nonfict autobiographi orwel georg
identity   violence,sen amartya,Philosophy,philosophi,philosophi philosophi sen amartya
beyond the three seas,dalrympl william,nonfiction,histori,nonfict histori dalrympl william
maugham s collected short stories  vol  ,maugham william,fiction,classic,fiction classic maugham william
ashenden of the british agent,maugham william,fiction,classic,fiction classic maugham william
zen   the art of motorcycle maintenance,pirsig robert,Philosophy,autobiographi,philosophi autobiographi pirsig robert
great war for civilization  the,fisk robert,nonfiction,histori,nonfict histori fisk robert
we the living,rand ayn,fiction,novel,fiction novel rand ayn
artist and the mathematician  the,aczel amir,science,mathemat,scienc mathemat aczel amir
history of western philosophy,russel bertrand,Philosophy,philosophi,philosophi philosophi russel bertrand
rationality   freedom,sen amartya,science,econom,scienc econom sen amartya
clash of civilizations and remaking of the world order,huntington samuel,nonfiction,histori,nonfict histori huntington samuel
uncommon wisdom,capra fritjof,nonfiction,antholog,nonfict antholog capra fritjof
one,bach richard,nonfiction,autobiographi,nonfict autobiographi bach richard
to sir with love,braithwait,fiction,classic,fiction classic braithwait
